tradRes1,tradRes2
18歲,18岁
65塊,65块
QS大學排名,QS大学排名
bobo頭,bobo头
いい加減,いい加减
お弁当（日本語）,お弁当（日本语）
お願い,お愿い
テレビ番組,テレビ番组
一人之下萬人之上,一人之下万人之上
一個,一个
一個人,一个人
一個動成,一个动成
一個坑,一个坑
一別後,一别后
一剎那,一刹那
一問店,一问店
一國兩制,一国两制
一成不變,一成不变
一條,一条
一生一世一雙人,一生一世一双人
一種量詞,一种量词
一葉障目,一叶障目
一讓,一让
一輩子的事業,一辈子的事业
一鏡到底,一镜到底
一陣,一阵
一雙,一双
一顧傾城,一顾倾城
一鳴驚人,一鸣惊人
一點也不好笑,一点也不好笑
一點小心意,一点小心意
丁權,丁权
七彩霓虹燈,七彩霓虹灯
万人塚,万人冢
三三兩兩,三三两两
三個,三个
三個傻瓜,三个傻瓜
三千佳麗,三千佳丽
三國演義,三国演义
三圍,三围
三文魚,三文鱼
三碗不過岡,三碗不过冈
三級跳,三级跳
三維,三维
三維空間,三维空间
三觀,三观
三角體,三角体
三資企業,三资企业
三體,三体
上來,上来
上學,上学
上層,上层
上廁所,上厕所
上癮,上瘾
上級,上级
上網,上网
上訴,上诉
上課,上课
上車,上车
上馬,上马
下地獄,下地狱
下墜,下坠
下層,下层
下屬,下属
下賤,下贱
下載,下载
下體,下体
不一樣,不一样
不仔細,不仔细
不允許,不允许
不切實際,不切实际
不務農事,不务农事
不原諒,不原谅
不可原諒,不可原谅
不吃虧,不吃亏
不同凡響,不同凡响
不同種類,不同种类
不喜歡,不喜欢
不嚴重,不严重
不堪一擊,不堪一击
不夠,不够
不夠說服力,不够说服力
不好說,不好说
不學無術,不学无术
不實,不实
不尋常,不寻常
不常見,不常见
不悅,不悦
不想放棄,不想放弃
不想衝突,不想冲突
不懂大腦,不懂大脑
不擅長,不擅长
不擇手段,不择手段
不敗,不败
不明飛行物,不明飞行物
不會成真,不会成真
不會玩,不会玩
不服氣,不服气
不正確,不正确
不正經,不正经
不求回報,不求回报
不漲,不涨
不畏風雨,不畏风雨
不當,不当
不相往來,不相往来
不知長進,不知长进
不確定,不确定
不確定性,不确定性
不禮貌,不礼貌
不穩定,不稳定
不純,不纯
不純淨,不纯净
不經意,不经意
不緊張,不紧张
不義,不义
不耐煩,不耐烦
不聽他人勸告,不听他人劝告
不能沒有,不能没有
不良習慣,不良习惯
不被踐踏,不被践踏
不複雜,不复杂
不要再講喇,不要再讲喇
不要告訴別人,不要告诉别人
不見,不见
不見了,不见了
不討厭,不讨厌
不認識,不认识
不誠實,不诚实
不講理,不讲理
不識字,不识字
不讀書,不读书
不變,不变
不變動,不变动
不負責任,不负责任
不輕浮不是救生衣,不轻浮不是救生衣
不輕浮不是游泳圈,不轻浮不是游泳圈
不適,不适
不錯,不错
不開心,不开心
不開竅,不开窍
不關心,不关心
不顧世俗,不顾世俗
不高興,不高兴
世界五百強公司,世界五百强公司
世界大戰,世界大战
世界屬於三體,世界属于三体
世界盃,世界杯
世界盡頭,世界尽头
世界第二長河,世界第二长河
世界觀,世界观
丟,丢
丟三落四,丢三落四
丟东西,丢东西
丟丟銅仔,丢丢铜仔
丟失,丢失
丟球,丢球
丟臉,丢脸
並,并
並肩作戰,并肩作战
个別的,个别的
中世紀,中世纪
中印戰爭,中印战争
中國,中国
中國人,中国人
中國叫法,中国叫法
中國在漢唐時期就傲視世界了,中国在汉唐时期就傲视世界了
中國大媽,中国大妈
中國文化,中国文化
中國是再次崛起好嗎,中国是再次崛起好吗
中國經典,中国经典
中國製造,中国制造
中國近代史,中国近代史
中头獎,中头奖
中學生,中学生
中文檢定,中文检定
中東,中东
中獎,中奖
中環,中环
中華文化,中华文化
中華民族,中华民族
中藥,中药
中間,中间
中關村,中关村
串連,串连
丹鳳眼,丹凤眼
主婦,主妇
主權,主权
主義,主义
主觀,主观
主體,主体
么說完,么说完
之後,之后
之詞,之词
乘載物,乘载物
九彎十八拐,九弯十八拐
九點方向,九点方向
九龍,九龙
九龍城寨,九龙城寨
也許,也许
乳頭,乳头
乳齒,乳齿
乾,干
乾旱,干旱
乾洗,干洗
乾淨,干净
乾清宫,干清宫
乾燥,干燥
乾的,干的
乾等,干等
乾草,干草
亂世,乱世
亂世佳人,乱世佳人
亂倫,乱伦
亂搞,乱搞
了無生氣,了无生气
了結,了结
事務員,事务员
事實,事实
事有蹊蹺,事有蹊跷
事業,事业
事業有成,事业有成
二合為一,二合为一
二噁英等化学物质（最近刚看了一篇相关的不知在哪里）,二恶英等化学物质（最近刚看了一篇相关的不知在哪里）
二宮和也,二宫和也
二師兄,二师兄
二師弟,二师弟
二進制,二进制
互動,互动
互愛,互爱
互相傷害,互相伤害
互聯網,互联网
五仁月餅,五仁月饼
五嶽,五岳
五彩斑斕,五彩斑斓
五星級,五星级
五臟六腑,五脏六腑
井井有條,井井有条
井蓋,井盖
些許,些许
亞特蘭蒂斯,亚特兰蒂斯
亞瑟,亚瑟
亞瑪遜,亚玛逊
亢奮,亢奋
交換,交换
交談,交谈
交通規則,交通规则
交遊,交游
交際,交际
交際花,交际花
交響曲,交响曲
交響樂,交响乐
京都寺廟,京都寺庙
亮劍,亮剑
亮燈,亮灯
人 樹,人 树
人參,人参
人口眾多,人口众多
人員,人员
人多口雜,人多口杂
人多手雜,人多手杂
人性考驗,人性考验
人格特質,人格特质
人權宣言,人权宣言
人死後的去處,人死后的去处
人民大會堂,人民大会堂
人民幣,人民币
人為,人为
人無遠慮 必有近憂,人无远虑 必有近忧
人煙稀少,人烟稀少
人物退場,人物退场
人生沒有意義,人生没有意义
人種,人种
人與人,人与人
人販子,人贩子
人較,人较
人間,人间
人際,人际
人際關係,人际关系
人類,人类
人類惡,人类恶
人魚,人鱼
什麼,什么
什麽玩意兒,什么玩意儿
仁義,仁义
介紹,介绍
仔細,仔细
他們,他们
他國,他国
他說,他说
付錢,付钱
仙劍,仙剑
仙鶴,仙鹤
代溝,代沟
代碼,代码
代詞,代词
以德報怨,以德报怨
以愛之名,以爱之名
以為,以为
以牙還牙,以牙还牙
件數,件数
任務,任务
任雲蹤,任云踪
企圖,企图
企業,企业
企鵝,企鹅
伊斯蘭,伊斯兰
休閒,休闲
伴侶,伴侣
伸手不見五指,伸手不见五指
伸縮,伸缩
佈局,布局
低價,低价
低層,低层
低溫,低温
低賤,低贱
低階,低阶
低頭,低头
佔地為王,占地为王
佔有,占有
佛經,佛经
作夢,作梦
作惡多端,作恶多端
作戰,作战
作業,作业
你好嗎,你好吗
你怎麼帥成這樣,你怎么帅成这样
佩短劍的勇士,佩短剑的勇士
佳餚,佳肴
使勁,使劲
使用權,使用权
來,来
來M,来M
來亂的,来乱的
來了,来了
來到,来到
來去自如,来去自如
來回,来回
來得太快,来得太快
來歷,来历
來訪,来访
來過,来过
侍衛,侍卫
供應,供应
供給,供给
依舊,依旧
依賴,依赖
依賴性,依赖性
侷限,局限
便條,便条
便當,便当
便籤,便签
促銷,促销
俄國人,俄国人
俄羅斯,俄罗斯
俗氣,俗气
俚語,俚语
保時捷,保时捷
保溫,保温
保溫壺,保温壶
保濕,保湿
保衛,保卫
保證金,保证金
保護,保护
保險,保险
保養,保养
保養品,保养品
信紙,信纸
修煉,修炼
修補,修补
修車,修车
修養,修养
倉庫,仓库
倉頡,仓颉
個人,个人
個人喜好,个人喜好
個人性格,个人性格
個人成長,个人成长
個人的想法,个人的想法
個人的組合,个人的组合
個人觀感,个人观感
個子,个子
個性,个性
個案,个案
候鳥,候鸟
借貸,借贷
