Cue,R1Raw,R2Raw,R3Raw
下雨,湿润,"天气","伞"
下雨,雨伞,"泥泞","光景"
下雨,打伞,"湿地","清新"
下雨,乌云,"晴天","伞"
下雨,伞,"湿","闪电"
下雨,伞,"湿润","天气"
下雨,雨伞,"潮湿","雨衣"
下雨,湿,"伞","云"
下雨,乌云,"伞","泥泞"
下雨,湿润,"清新","伞"
下雨,水,"天空","湿"
下雨,淋湿,"雷声","风衣"
下雨,湿,"雨伞","天空"
下雨,雨伞,"湿地","道路"
下雨,伞,"潮湿","雷声"
下雨,雨伞,"潮湿","滴答"
下雨,打雷,"湿润","雨伞"
下雨,湿润,"伞","阴天"
下雨,伞,"湿","云"
下雨,潮湿,"伞","水滴"
下雨,湿润,"拿伞","泥泞"
下雨,天气,"伞","道路"
下雨,伞,"润湿","天空"
下雨,乌云,"湿润","撑伞"
下雨,打伞,"潮湿","天气"
下雨,撑伞,"泥泞","湿滑"
下雨,湿漉,"云朵","露珠"
下雨,湿润,"雨伞","梅雨"
下雨,伞,"潮湿","泥泞"
下雨,伞,"湿","洋房"
下雨,伞,"潮湿","湿地"
下雨,伞,"湿","声音"
下雨,打伞,"湿地","雨声"
下雨,打伞,"湿透","流淌"
下雨,滴答,"湿润","伞"
下雨,水,"云","伞"
下雨,伞,"湿","云"
下雨,湿润,"伞","倾盆"
下雨,打伞,"湿透","泥泞"
下雨,打伞,"湿润","草地"
下雨,雨伞,"湿地","道路"
下雨,伞,"潮湿","草地"
下雨,天气,"伞","潮湿"
下雨,让伞,"小镇","潇潇"
下雨,淋湿,"雨伞","水滴"
下雨,湿润,"降水","打伞"
下雨,打伞,"湿润","倾盆"
下雨,伞,"湿","据光"
下雨,淋湿,"雨伞","潮湿"
下雨,湿润,"窗户","伞"
下雨,雨伞,"湿润","puddle"
下雨,打伞,"淋湿","水花"
下雨,湿润,"伞","清新"
下雨,打伞,"湿滑","泥泞"
下雨,湿润,"伞","路滑"
下雨,湿润,"滴答","水洼"
下雨,淋湿,"冷风","水滴"
下雨,雨伞,"阴天","湿滑"
下雨,天空,"湿地","雨伞"
下雨,伞,"湿","雷"
下雨,伞,"湿","小溪"
下雨,打伞,"湿漉","自然"
下雨,乌云,"湿润","雨伞"
下雨,湿润,"伞","水枪"
下雨,伞,"水","潮"
下雨,打伞,"阴天","湿滑"
下雨,水,"湿涝","雨伞"
下雨,伞,"湿","雷"
下雨,天气,"湿润","伞"
下雨,湿漉,"伞","水滴"
下雨,湿润,"伞","滴答"
下雨,湿润,"伞","风씬"
下雨,伞,"湿","天"
下雨,伞,"湿路","窗户"
下雨,打伞,"湿滑","细雨"
下雨,打伞,"湿润","天气"
下雨,雷声,"雨伞","潮湿"
下雨,打伞,"湿涔","大气"
下雨,雨伞,"潮湿","小溪"
下雨,天气,"湿润","伞"
下雨,打伞,"湿润","天空"
下雨,湿漉,"雷声","雨伞"
下雨,雨伞,"湿润","倾盆"
下雨,湿润,"雨伞","路滑"
下雨,天空,"滴答","湿答答"
下雨,湿润,"雨伞","屋内"
下雨,湿润,"伞","水滴"
下雨,湿润,"伞","街道"
下雨,撑伞,"湿润","凉爽"
下雨,潮湿,"雨伞","水坑"
下雨,水,"湿","伞"
下雨,湿润,"伞","季节"
下雨,湿润,"降落","伞"
下雨,雨伞,"水滴","潮湿"
下雨,水,"天空","灰暗"
下雨,湿润,"伞","潮气"
下雨,天气,"湿鞋","伞"
下雨,潮湿,"水坑","雨伞"
下雨,淋湿,"雨伞","云朵"
下雨,伞,"湿","雨鞋"
下雨,湿润,"伞","泥泞"
下雨,打伞,"湿地","水滴"
下雨,湿伞,"路滑","安静"
下雨,打伞,"泥泞","天空"
