resWLsymbol1,resWLsymbol2
"!",#Symbol
"#",#Symbol
"$_$",#Symbol
"%",#Symbol
"%以后",以后
"&",#Symbol
"'",#Symbol
"'s",S
"'信任",信任
"'勇敢",勇敢
"'噪音",噪音
"'声音",声音
"'安静",安静
"'指南针",指南针
"'法律",法律
"'真相",真相
"'组成",组成
"'装",装
"'音信",音信
"(⊙o⊙)",#Symbol
"(凶爆)",凶爆
"(姜)片",姜片
"(姜)糖",姜糖
"(带)孩子",带孩子
"(松鼠)大战",松鼠大战
"(石膏)像",石膏像
"(麻布)衣服",麻布衣服
"*",#Symbol
"*号",号
"+",#Symbol
"+1",#Symbol
"+1s",#Symbol
"+下一个",下一个
"-",#Symbol
"-儿童",儿童
"-出家",出家
"-吃",吃
"-吃饭",吃饭
"-拆家",拆家
"-集合",集合
".",#Symbol
". 雨",雨
"...",#Symbol
"....",#Symbol
".....",#Symbol
"..尺寸",尺寸
".avi",AVI
".bring",bring
".mp4",mp4
".net",Net
".pig",pig
".女生",女生
".如果",如果
".甜",甜
"/::T",T
"0",#Symbol
"0.02",#Symbol
"0.05%",#Symbol
"0.3",#Symbol
"0.5毫克",#Symbol
"00",#Symbol
"000 ",#Symbol
"0000",#Symbol
"007",#Symbol
"00后",00后
"01",#Symbol
"02",#Symbol
"02.13",#Symbol
"02老婆",#Symbol
"034000",#Symbol
"045000",#Symbol
"05",#Symbol
"0520",#Symbol
"05后",05后
"0703",#Symbol
"08",#Symbol
"0:0",#Symbol
"0分",#Symbol
"0度",#Symbol
"0结婚",结婚
"1",#Symbol
"1+1",#Symbol
"1+1=2",#Symbol
"1.0",#Symbol
"1.2.3",#Symbol
"1.48",#Symbol
"1.49",#Symbol
"1.50",#Symbol
"1/1",#Symbol
"1/2",#Symbol
"10",#Symbol
"10.1",#Symbol
"10.23",#Symbol
"100",#Symbol
"100%",#Symbol
"100-10",#Symbol
"1000",#Symbol
"10000",#Symbol
"100096",#Symbol
"1000米",#Symbol
"10010",#Symbol
"10086",#Symbol
"100867",#Symbol
"100CC",#Symbol
"100位",#Symbol
"100元",#Symbol
"100分",#Symbol
"100块",#Symbol
"100岁",#Symbol
"100年",#Symbol
"100度",#Symbol
"100斤",#Symbol
"100米",#Symbol
"100连坠机",#Symbol
"101",#Symbol
"101大厦",#Symbol
"101次求婚",#Symbol
"1024",#Symbol
"103.7",#Symbol
"103.9",#Symbol
"1080",#Symbol
"1080P",#Symbol
"10cm",#Symbol
"10个",#Symbol
"10位",#Symbol
"10公里",#Symbol
"10块",#Symbol
"10年",#Symbol
"10月19日",#Symbol
"10月怀胎",#Symbol
"10毫米",#Symbol
"10点关门",#Symbol
"10级别",#Symbol
"11",#Symbol
"110",#Symbol
"1101",#Symbol
"111",#Symbol
"1111",#Symbol
"114",#Symbol
"114514",#Symbol
"117",#Symbol
"117000",#Symbol
"119",#Symbol
"11区",#Symbol
"11号",#Symbol
"11月",#Symbol
"11点",#Symbol
"11路",#Symbol
"11路公交",#Symbol
"11路车",#Symbol
"11集",#Symbol
"12",#Symbol
"12.21",#Symbol
"12.22",#Symbol
"12.25",#Symbol
"12.4",#Symbol
"120",#Symbol
"120救护",#Symbol
"120救护车",120救护车
"1221",#Symbol
"1224",#Symbol
"123",#Symbol
"12306",#Symbol
"12315",#Symbol
"123157",#Symbol
"1234",#Symbol
"12345",#Symbol
"123456",#Symbol
"124",#Symbol
"126",#Symbol
"127872",#Symbol
"128G",#Symbol
"12个",#Symbol
"12分",#Symbol
"12小时",#Symbol
"12月25",#Symbol
"12月25日",#Symbol
"12点",#Symbol
"12点之前",#Symbol
"13",#Symbol
"130斤大腿",#Symbol
"1314",#Symbol
"134",#Symbol
"137679",#Symbol
"13亿",#Symbol
