resWLen1,resWLen2
3D,3D
A,A
ADC,ADC
AI,AI
B,B
Baby,Baby
Bird,Bird
Bug,Bug
C,C
CCTV,CCTV
CEO,CEO
CF,CF
CO2,CO2
CT,CT
DNA,DNA
EQ,EQ
Fe,Fe
GDP,GDP
GPS,GPS
I,I
IQ,IQ
IT,IT
JJ,JJ
JK,JK
KFC,KFC
M,M
NBA,NBA
Nature,Nature
OK,OK
PS,PS
Pen,Pen
Python,Python
TV,TV
Tony,Tony
UFO,UFO
VIP,VIP
WTO,WTO
WiFi,WiFi
Word,Word
X,X
absence,absence
against,against
age,age
ai,ai
aim,aim
air,air
allow,allow
aloud,aloud
always,always
amazing,amazing
ancient,ancient
animal,animal
apartment,apartment
app,app
area,area
article,article
baby,baby
beach,beach
behave,behave
black,black
boss,boss
broke,broke
broken,broken
bug,bug
bye,bye
c,c
calculation,calculation
cancer,cancer
captain,captain
career,career
cd,cd
chance,chance
check,check
china,china
clue,clue
comedy,comedy
confront,confront
contract,contract
cos,cos
creation,creation
crowd,crowd
cry,cry
dark,dark
data,data
date,date
deadline,deadline
dear,dear
decision,decision
delete,delete
depicted,depicted
design,design
discover,discover
distance,distance
divorce,divorce
do,do
download,download
drug,drug
eco,eco
economic,economic
economy,economy
education,education
email,email
emoji,emoji
emperor,emperor
ems,ems
end,end
eq,eq
error,error
exceed,exceed
excel,excel
expensive,expensive
extraordinarily,extraordinarily
fade,fade
fee,fee
feel,feel
feeling,feeling
festival,festival
flag,flag
flow,flow
fly,fly
forever,forever
formula,formula
fuck,fuck
future,future
g,g
ghost,ghost
girl,girl
goal,goal
google,google
gps,gps
graduate,graduate
guess,guess
haha,haha
happy,happy
health,health
heath,heath
hello,hello
help,help
here,here
hero,hero
highway,highway
hint,hint
history,history
home,home
homo,homo
hope,hope
human,human
humour,humour
idea,idea
idol,idol
ignorance,ignorance
imagination,imagination
impairment,impairment
important,important
in,in
income,income
independent,independent
ing,ing
input,input
interact,interact
introduce,introduce
iq,iq
item,item
jail,jail
jam,jam
juice,juice
keynote,keynote
knight,knight
lady,lady
language,language
last,last
law,law
leg,leg
level,level
life,life
limit,limit
live,live
logo,logo
lonely,lonely
look,look
loser,loser
love,love
magic,magic
make,make
me,me
medical,medical
melody,melody
men,men
mercy,mercy
method,method
mg,mg
miss,miss
mistake,mistake
misunderstood,misunderstood
money,money
moon,moon
more,more
morning,morning
must,must
nasa,nasa
nb,nb
news,news
newspaper,newspaper
nice,nice
night,night
no,no
noodle,noodle
novel,novel
number,number
offer,offer
ok,ok
open,open
opening,opening
opinion,opinion
out,out
overdose,overdose
oversize,oversize
p,p
park,park
parking,parking
party,party
pc,pc
peace,peace
permit,permit
photograph,photograph
pink,pink
pocket,pocket
point,point
police,police
polish,polish
poor,poor
population,population
pose,pose
poster,poster
pre,pre
pressure,pressure
professor,professor
prospective,prospective
pua,pua
putout,putout
rap,rap
reaction,reaction
red,red
relax,relax
result,result
return,return
revolution,revolution
rival,rival
ros,ros
safe,safe
say,say
sb,sb
second,second
sexy,sexy
shortage,shortage
show,show
sister,sister
six,six
sky,sky
sleep,sleep
sorry,sorry
soso,soso
speak,speak
spy,spy
star,star
steal,steal
stop,stop
stress,stress
students,students
surprise,surprise
sword,sword
tan,tan
team,team
terminal,terminal
terrible,terrible
they,they
thing,thing
tired,tired
top,top
touch,touch
truth,truth
try,try
ui,ui
umbrella,umbrella
upset,upset
vibe,vibe
victory,victory
violence,violence
vip,vip
vodka,vodka
vs,vs
wall,wall
wander,wander
welcome,welcome
why,why
windows,windows
wise,wise
yeah,yeah
year,year
yes,yes
young,young
APP,app
Amazing,amazing
BOSS,boss
BOY,boy
Background,background
Email,email
GOOD,Good
Imagination,imagination
KG,kg
Maybe,maybe
NICE,Nice
NO,No
OPPO,oppo
Output,output
Outstanding,outstanding
QQ,Qq
RAP,rap
SPA,Spa
VOGUE,Vogue
cctv,CCTV
gdp,GDP
jk,JK
lala,Lala
pdf,PDF
qq,Qq
sql,SQL
wifi,WiFi
yolo,Yolo
